,UTC Valid Date
0,5/29/2008
1,5/30/2008
2,6/3/2008
3,6/4/2008
4,6/5/2008
5,6/7/2008
6,6/8/2008
7,6/24/2008
8,6/25/2008
9,6/26/2008
10,7/6/2008
11,7/7/2008
12,7/8/2008
13,7/11/2008
14,7/15/2008
15,7/16/2008
16,7/17/2008
17,7/18/2008
18,7/19/2008
19,7/20/2008
20,7/28/2008
21,7/29/2008
22,7/30/2008
23,7/31/2008
24,8/1/2008
25,8/2/2008
26,8/3/2008
27,8/4/2008
28,8/5/2008
29,5/13/2009
30,6/1/2009
31,6/6/2009
32,6/7/2009
33,6/8/2009
34,6/9/2009
35,6/16/2009
36,6/17/2009
37,6/18/2009
38,6/19/2009
39,7/9/2009
40,7/10/2009
41,7/12/2009
42,7/13/2009
43,7/25/2009
44,8/4/2009
45,8/5/2009
46,8/6/2009
47,8/7/2009
48,5/12/2010
49,5/13/2010
50,5/23/2010
51,6/2/2010
52,6/4/2010
53,6/5/2010
54,6/6/2010
55,6/8/2010
56,6/10/2010
57,6/11/2010
58,6/15/2010
59,6/17/2010
60,6/18/2010
61,6/19/2010
62,6/20/2010
63,6/21/2010
64,6/22/2010
65,6/23/2010
66,6/24/2010
67,6/25/2010
68,6/26/2010
69,7/14/2010
70,7/15/2010
71,7/17/2010
72,7/18/2010
73,7/22/2010
74,7/31/2010
75,8/1/2010
76,8/3/2010
77,8/5/2010
78,8/7/2010
79,8/8/2010
80,8/9/2010
81,8/13/2010
82,8/14/2010
83,8/18/2010
84,9/22/2010
85,9/23/2010
86,3/20/2011
87,4/9/2011
88,5/7/2011
89,5/11/2011
90,5/12/2011
91,5/27/2011
92,5/29/2011
93,5/31/2011
94,6/1/2011
95,6/2/2011
96,6/3/2011
97,6/4/2011
98,6/5/2011
99,6/6/2011
100,6/9/2011
101,6/10/2011
102,6/15/2011
103,6/16/2011
104,6/17/2011
105,6/18/2011
106,6/19/2011
107,6/20/2011
108,6/24/2011
109,6/27/2011
110,6/30/2011
111,7/1/2011
112,7/3/2011
113,7/10/2011
114,7/12/2011
115,7/16/2011
116,7/17/2011
117,7/18/2011
118,7/20/2011
119,7/21/2011
120,7/22/2011
121,7/23/2011
122,7/24/2011
123,7/25/2011
124,7/28/2011
125,7/29/2011
126,8/1/2011
127,8/2/2011
128,8/5/2011
129,8/22/2011
130,8/23/2011
131,9/3/2011
132,4/13/2012
